iter	Passed	Remaining
0	0	85
1	1	78
2	2	74
3	3	73
4	3	75
5	4	75
6	5	74
7	6	73
8	7	72
9	7	70
10	8	70
11	9	69
12	10	69
13	11	68
14	11	67
15	12	66
16	13	65
17	14	64
18	14	62
19	15	62
20	16	62
21	17	62
22	18	61
23	19	60
24	19	59
25	20	58
26	21	57
27	22	57
28	23	56
29	23	55
30	24	54
31	25	53
32	26	53
33	26	52
34	27	51
35	28	50
36	29	49
37	29	48
38	30	48
39	31	47
40	32	46
41	32	44
42	33	44
43	34	43
44	34	42
45	35	42
46	36	41
47	37	40
48	38	39
49	39	39
50	39	38
51	40	37
52	41	37
53	42	36
54	42	35
55	43	34
56	44	33
57	45	32
58	46	32
59	47	31
60	48	30
61	48	30
62	49	29
63	50	28
64	51	27
65	51	26
66	52	26
67	53	25
68	54	24
69	55	23
70	56	22
71	57	22
72	58	21
73	58	20
74	59	19
75	60	19
76	61	18
77	61	17
78	62	16
79	63	15
80	64	15
81	65	14
82	66	13
83	66	12
84	67	11
85	68	11
86	69	10
87	69	9
88	70	8
89	71	7
90	71	7
91	72	6
92	73	5
93	74	4
94	75	3
95	76	3
96	76	2
97	77	1
98	78	0
99	79	0
