iter	Passed	Remaining
0	1	1028
1	1	975
2	2	906
3	3	895
4	4	877
5	5	873
6	5	847
7	6	837
8	7	833
9	8	831
10	9	821
11	9	815
12	10	806
13	11	807
14	12	801
15	13	808
16	13	807
17	14	811
18	15	810
19	16	810
20	17	809
21	18	808
22	18	802
23	19	804
24	20	804
25	21	805
26	22	801
27	23	805
28	24	804
29	24	800
30	25	803
31	26	798
32	27	795
33	28	796
34	28	796
35	29	791
36	30	788
37	31	786
38	31	784
39	32	784
40	33	783
41	34	780
42	34	778
43	35	776
44	36	774
45	37	785
46	38	787
47	39	787
48	40	788
49	41	785
50	42	783
51	42	780
52	43	781
53	44	779
54	45	778
55	46	776
56	46	772
57	47	770
58	48	768
59	48	765
60	49	763
61	50	763
62	51	763
63	52	763
64	53	762
65	53	763
66	54	762
67	55	763
68	56	762
69	57	766
70	58	767
71	59	765
72	60	764
73	60	762
74	61	761
75	62	760
76	63	758
77	64	756
78	64	754
79	65	752
80	66	750
81	66	749
82	67	744
83	68	745
84	69	743
85	69	741
86	70	739
87	71	738
88	72	737
89	72	735
90	73	734
91	74	732
92	75	731
93	75	730
94	76	730
95	77	728
96	78	727
97	78	726
98	79	724
99	80	724
100	81	723
101	82	722
102	82	721
103	83	720
104	84	719
105	85	718
106	85	716
107	86	715
108	87	716
109	88	714
110	88	712
111	89	712
112	90	711
113	91	710
114	92	708
115	92	708
116	93	706
117	94	706
118	95	705
119	96	704
120	96	702
121	97	700
122	98	699
123	98	698
124	99	697
125	100	696
126	101	694
127	101	694
128	102	692
129	103	692
130	104	691
131	105	690
132	105	690
133	106	689
134	107	689
135	108	688
136	109	687
137	109	686
138	110	684
139	111	683
140	112	683
141	112	681
142	113	681
143	114	681
144	115	680
145	116	678
146	116	677
147	117	675
148	118	675
149	119	675
150	119	674
151	120	673
152	121	672
153	122	672
154	123	670
155	123	669
156	124	668
157	125	667
158	126	667
159	126	666
160	127	663
161	128	662
162	128	661
163	129	660
164	130	659
165	131	658
166	131	657
167	132	656
168	133	655
169	134	654
170	134	653
171	135	652
172	136	651
173	137	651
174	137	650
175	138	650
